id,domain,status,purchase_price,renewal_price,attractiveness,demand,length,registrar,created_at,expires_at
00115790-6c81-450a-b7a5-d0c755c5ea54,piledup.construction,available,15.99,,52,1,8,name.com,,
001ff6da-e75d-4aa1-936c-8b19f618e0e7,sqft.construction,available,15.99,,72,9,5,name.com,,
00222eb3-fcd0-4b18-876d-f78699b833dd,murmured.construction,available,15.99,,56,2,8,name.com,,
0032a0d3-2fac-4540-9c1f-19be3c35be6e,mosquitos.construction,available,15.99,,42,5,9,name.com,,
00438e35-14bf-4b77-886c-c728d34dcbe9,tornados.construction,available,15.99,,50,4,8,name.com,,
00b781e9-e3ec-49f5-8966-ac87465bee5d,notleast.construction,available,15.99,,62,1,9,name.com,,
00bb49aa-a91f-4264-910b-499d93598610,VeniceBeach.construction,available,50.98,,56,7,12,namecheap,,
00dd96b7-f760-4fac-82b1-704828620f8c,gotowards.construction,available,15.99,,68,1,10,name.com,,
00dfafb1-4f9a-4ec2-8d99-85646bde1f55,onestepahead.construction,available,15.99,,58,4,14,name.com,,
00ea5f8f-dce7-4757-a519-c8732e800f1c,getlife.construction,available,15.99,,80,5,8,name.com,,
010009b1-4ca5-4907-a2f2-44e3eff26e12,makethegrade.construction,available,15.99,,70,3,14,name.com,,
010e871f-7f6c-4cde-a3ba-15b3b352a472,getthemeaning.construction,available,15.99,,69,0,15,name.com,,
011d57a8-1874-4169-a4c7-d47765ea5bb3,Frenchicecream.construction,available,50.98,,72,1,16,namecheap,,
01309813-6686-4682-a0b2-b1a498b7d57c,inwriting.construction,available,15.99,,72,3,10,name.com,,
01eca4c3-c0e8-48f8-9778-c3a73a7f99b6,movefurniture.construction,available,15.99,,68,1,14,name.com,,
020b1267-bd34-43f2-ad82-b52304d0acc5,advertisements.construction,available,15.99,,54,7,14,name.com,,
0222b982-4868-4faf-871d-aa47b7812c4f,CountyofYoung.construction,available,50.98,,42,1,15,namecheap,,
024ec084-97ae-48dd-b616-2145d479ba92,designers.construction,available,15.99,,72,15,9,name.com,,
025c87e9-dc7b-4967-98b9-d9560f9dc3aa,practicality.construction,available,15.99,,72,3,12,name.com,,
02934c9a-064a-4a22-bde5-3b123433db55,messed.construction,available,15.99,,46,2,6,name.com,,
02ad957f-d182-4b09-a195-787e523dd7c5,makewaves.construction,available,15.99,,78,8,10,name.com,,
02c7fdad-809d-4285-a088-010ca6b40314,shortest.construction,available,15.99,,54,6,8,name.com,,
02e38321-bca9-4a3d-a499-6d332a969450,plateup.construction,available,15.99,,74,2,8,name.com,,
0324d2d2-9cdb-4a1d-baa7-6ceaacf7f14c,flaxseed.construction,available,15.99,,80,4,9,name.com,,
033f4be6-b328-4d8a-acde-5ded14017d11,devoting.construction,available,15.99,,56,2,8,name.com,,
034444a2-9b98-4848-b117-670e1fd3d653,roastpork.construction,available,15.99,,76,1,10,name.com,,
0348bd2f-a15e-41ee-88a5-f13554dde6ca,locks.construction,available,15.99,,66,14,5,name.com,,
03732c0c-dd7e-4db6-a9a5-dfe54009ea4d,coulduse.construction,available,15.99,,56,1,9,name.com,,
03944b61-ac43-4679-a63f-9ea3f4fe6dc2,keepnote.construction,available,15.99,,48,2,9,name.com,,
03d32162-5967-4528-9b9f-ff3381ffd2c4,gettheidea.construction,available,15.99,,79,0,12,name.com,,
03e599d9-43a8-4dcd-99e1-1cdfdabb1435,BlackWallStreet.construction,available,15.99,,44,9,17,name.com,,
043497de-e868-4c17-9388-569ee09d1632,asperyourrequest.construction,available,15.99,,48,1,19,name.com,,
044186fa-a4ac-4d3d-866e-64c1b9e8eb18,amplifiers.construction,available,15.99,,56,4,10,name.com,,
0450b70f-137b-49b3-91a0-29cbc745342e,happens.construction,available,15.99,,52,8,7,name.com,,
04a0a331-6cf7-4137-a172-6f8078b56255,females.construction,available,15.99,,62,8,7,name.com,,
04ceaadb-4849-44e3-91e7-133a8c9f0d08,believeme.construction,available,15.99,,68,3,10,name.com,,
04e956aa-1c6a-48c7-ad4f-328b938c007d,newsfeature.construction,available,15.99,,50,1,12,name.com,,
05080ac2-dc39-49f4-b406-4cd74f82cce9,portholes.construction,available,15.99,,46,2,9,name.com,,
050b19dd-0f26-4ddd-88ca-5b2e6fbdb930,slightest.construction,available,15.99,,56,1,9,name.com,,
05b1d6bd-15e5-47c6-9d42-5147629e47a9,commonhall.construction,available,15.99,,58,1,11,name.com,,
0629585c-ecca-4e82-9a85-10b99a536dea,fittest.construction,available,15.99,,58,7,7,name.com,,
